id=64486, x=46.87, y=128.54 for query 1
id=146740, x=51.87, y=125.21 for query 2
id=21954, x=21.24, y=106.03 for query 3
id=43346, x=7.4, y=139.06 for query 4
id=31782, x=64.97, y=94.72 for query 5
id=145711, x=89.59, y=115.74 for query 6
id=13680, x=89.08, y=95.63 for query 7
id=108354, x=3.75, y=126.17 for query 8
id=120179, x=22.27, y=94.88 for query 9
id=12083, x=47.54, y=134.03 for query 10
id=138020, x=69.03, y=126.12 for query 11
id=87650, x=21.62, y=138.83 for query 12
id=107417, x=33.77, y=92.14 for query 13
id=49199, x=88.61, y=138.29 for query 14
id=133419, x=77.34, y=86.48 for query 15
id=65911, x=21.73, y=144.1 for query 16
id=60340, x=53.86, y=102.02 for query 17
id=32264, x=54.79, y=120.05 for query 18
id=115370, x=40.57, y=139.13 for query 19
id=86614, x=40.19, y=124.1 for query 20
id=73465, x=43.79, y=97.9 for query 21
id=128729, x=65.91, y=102.37 for query 22
id=46560, x=73.29, y=105.96 for query 23
id=15013, x=63.89, y=133.33 for query 24
id=73736, x=35.31, y=158.89 for query 25
id=46261, x=38.29, y=84.64 for query 26
id=139526, x=1.43, y=88.79 for query 27
id=30879, x=57.56, y=98.63 for query 28
id=143548, x=60.17, y=124.41 for query 29
id=24332, x=87.73, y=94.97 for query 30
id=138425, x=38.99, y=98.88 for query 31
id=28444, x=36.58, y=101.41 for query 32
id=37580, x=24.58, y=147.85 for query 33
id=97617, x=58.48, y=125.12 for query 34
id=42639, x=27.35, y=159.1 for query 35
id=71586, x=17.11, y=153.03 for query 36
id=48020, x=73.68, y=142.79 for query 37
id=112503, x=28.41, y=110.76 for query 38
id=89341, x=6.29, y=121.52 for query 39
id=31225, x=80.22, y=94.77 for query 40
id=127398, x=72.07, y=86.06 for query 41
id=39540, x=36.02, y=159.03 for query 42
id=123285, x=18.72, y=103.53 for query 43
id=49462, x=6.17, y=118.3 for query 44
id=149011, x=62.36, y=119.54 for query 45
id=91448, x=52.83, y=158.08 for query 46
id=4356, x=46.82, y=158.05 for query 47
id=43346, x=7.4, y=139.06 for query 48
id=23775, x=37.06, y=119.36 for query 49
id=24031, x=47.51, y=140.81 for query 50
id=77617, x=50.71, y=88.16 for query 51
id=9289, x=86.78, y=88.36 for query 52
id=81799, x=41.5, y=146.33 for query 53
id=41785, x=79.97, y=139.25 for query 54
id=25845, x=81.44, y=156.72 for query 55
id=64790, x=56.39, y=127.46 for query 56
id=87853, x=5.98, y=143.09 for query 57
id=121417, x=5.79, y=144.78 for query 58
id=141910, x=20.8, y=146.75 for query 59
id=14226, x=4.14, y=90.38 for query 60
id=26745, x=3.88, y=111.24 for query 61
id=55883, x=81.45, y=87.68 for query 62
id=90465, x=73.23, y=142.77 for query 63
id=146956, x=72.55, y=153.52 for query 64
id=3048, x=2.73, y=148.1 for query 65
id=20320, x=55.41, y=135.01 for query 66
id=111339, x=15.11, y=125.14 for query 67
id=778, x=26.44, y=99.07 for query 68
id=121531, x=21.47, y=125.17 for query 69
id=94861, x=15.18, y=148.37 for query 70
id=109260, x=84.58, y=89.74 for query 71
id=134008, x=45.2, y=126.74 for query 72
id=140971, x=27.6, y=135.44 for query 73
id=142340, x=53.07, y=135.65 for query 74
id=40324, x=87.1, y=163.99 for query 75
id=82808, x=79.39, y=120.28 for query 76
id=111607, x=26.91, y=93.96 for query 77
id=49462, x=6.17, y=118.3 for query 83
id=127657, x=21.5, y=138.98 for query 84
id=56032, x=41.55, y=110.55 for query 85
id=73974, x=54.94, y=127.63 for query 86
id=31487, x=62.02, y=115.66 for query 87
id=134902, x=55.59, y=125.93 for query 88
id=68815, x=24.63, y=154.0 for query 89
id=92749, x=35.33, y=139.15 for query 90
id=96781, x=30.98, y=105.11 for query 91
id=18763, x=75.79, y=136.15 for query 92
id=82644, x=70.86, y=103.87 for query 93
id=23510, x=38.79, y=80.99 for query 94
id=91180, x=5.39, y=83.64 for query 95
id=95593, x=4.59, y=158.55 for query 96
id=112211, x=18.5, y=88.92 for query 97
id=101743, x=51.16, y=146.51 for query 98
id=68104, x=50.44, y=105.87 for query 99
id=33273, x=48.65, y=91.59 for query 100
id=18812, x=68.51, y=134.74 for query 101
id=48931, x=63.78, y=134.84 for query 102
id=47624, x=49.71, y=156.5 for query 103
id=68747, x=34.61, y=97.82 for query 104
id=120235, x=55.24, y=115.68 for query 105
id=144649, x=18.03, y=138.94 for query 106
id=14226, x=4.14, y=90.38 for query 107
id=64311, x=3.89, y=107.02 for query 108
id=135251, x=62.1, y=80.62 for query 109
id=100098, x=30.57, y=127.76 for query 110
id=17727, x=75.92, y=114.28 for query 111
id=1145, x=32.67, y=149.98 for query 112
id=80660, x=55.16, y=156.49 for query 113
id=76992, x=22.46, y=93.39 for query 114
id=120581, x=0.02, y=139.28 for query 115
id=16387, x=25.6, y=113.76 for query 116
id=147797, x=46.12, y=117.95 for query 117
id=30007, x=7.73, y=151.28 for query 118
id=74458, x=74.23, y=124.06 for query 119
id=114041, x=33.83, y=84.65 for query 120
id=55812, x=84.8, y=92.7 for query 121
id=48351, x=44.96, y=158.47 for query 122
id=114297, x=36.4, y=98.51 for query 123
id=32380, x=55.58, y=137.41 for query 124
id=47624, x=49.71, y=156.5 for query 125
id=92749, x=35.33, y=139.15 for query 126
id=110246, x=1.27, y=90.38 for query 127
id=69884, x=18.72, y=87.86 for query 128
id=77766, x=32.79, y=92.54 for query 129
id=53546, x=67.37, y=124.08 for query 130
id=58503, x=53.14, y=97.15 for query 131
id=144088, x=6.72, y=105.91 for query 132
id=8115, x=23.34, y=116.73 for query 133
id=119912, x=21.12, y=94.91 for query 134
id=105673, x=63.11, y=147.46 for query 135
id=62660, x=64.27, y=85.14 for query 136
id=24826, x=11.32, y=87.53 for query 137
id=76788, x=30.25, y=84.54 for query 138
id=67177, x=66.1, y=105.98 for query 139
id=24384, x=4.97, y=149.9 for query 140
id=39009, x=70.97, y=137.09 for query 141
id=45389, x=51.78, y=94.36 for query 142
id=148670, x=55.17, y=128.75 for query 143
id=38440, x=70.96, y=105.94 for query 144
id=47015, x=23.76, y=139.02 for query 145
id=3842, x=13.49, y=142.75 for query 146
id=131778, x=17.63, y=134.14 for query 147
id=109218, x=65.85, y=122.55 for query 148
id=110009, x=59.01, y=120.02 for query 149
id=17935, x=87.65, y=105.0 for query 150
id=8749, x=1.74, y=157.71 for query 151
id=12084, x=6.79, y=86.0 for query 152
id=111624, x=26.73, y=155.93 for query 153
id=148380, x=11.89, y=134.08 for query 154
id=61371, x=9.23, y=122.98 for query 155
id=148066, x=82.34, y=135.0 for query 156
id=42761, x=76.36, y=120.45 for query 157
id=48695, x=72.97, y=116.06 for query 158
id=911, x=25.99, y=93.27 for query 159
id=96266, x=79.09, y=125.85 for query 160
id=20236, x=79.3, y=105.71 for query 161
id=128663, x=30.75, y=110.76 for query 162
id=126057, x=78.92, y=133.36 for query 163
id=44175, x=79.97, y=79.86 for query 164
id=129769, x=56.15, y=92.72 for query 165
id=14226, x=4.14, y=90.38 for query 166
id=99096, x=16.83, y=83.44 for query 167
id=33881, x=53.41, y=145.59 for query 168
id=14316, x=4.19, y=139.18 for query 169
id=20091, x=64.87, y=115.64 for query 170
id=80060, x=88.05, y=128.67 for query 171
id=87712, x=18.42, y=146.37 for query 172
