id=12540, x=47.5, y=128.77 for query 1
id=54172, x=51.8, y=125.79 for query 2
id=16511, x=21.29, y=106.02 for query 3
id=30416, x=5.92, y=132.46 for query 4
id=31782, x=64.97, y=94.72 for query 5
id=132350, x=89.43, y=115.4 for query 6
id=19845, x=89.32, y=95.14 for query 7
id=108354, x=3.75, y=126.17 for query 8
id=141443, x=22.35, y=97.1 for query 9
id=12083, x=47.54, y=134.03 for query 10
id=1351, x=69.39, y=126.4 for query 11
id=122773, x=22.38, y=141.89 for query 12
id=118704, x=34.52, y=93.67 for query 13
id=49199, x=88.61, y=138.29 for query 14
id=52515, x=77.65, y=86.08 for query 15
id=33532, x=23.36, y=144.7 for query 16
id=5678, x=55.74, y=102.81 for query 17
id=129379, x=54.76, y=120.24 for query 18
id=66442, x=40.0, y=138.05 for query 19
id=86614, x=40.19, y=124.1 for query 20
id=73465, x=43.79, y=97.9 for query 21
id=17934, x=66.08, y=102.85 for query 22
id=11408, x=73.1, y=108.06 for query 23
id=124829, x=64.53, y=132.96 for query 24
id=110088, x=35.36, y=159.37 for query 25
id=78942, x=38.56, y=85.56 for query 26
id=139526, x=1.43, y=88.79 for query 27
id=131582, x=58.28, y=98.6 for query 28
id=41510, x=62.16, y=124.59 for query 29
id=24332, x=87.73, y=94.97 for query 30
id=5843, x=39.22, y=99.0 for query 31
id=89356, x=36.71, y=101.06 for query 32
id=37580, x=24.58, y=147.85 for query 33
id=60568, x=58.25, y=126.86 for query 34
id=79, x=28.37, y=158.71 for query 35
id=139449, x=16.8, y=154.0 for query 36
id=102852, x=74.25, y=142.66 for query 37
id=112503, x=28.41, y=110.76 for query 38
id=121623, x=6.54, y=121.53 for query 39
id=61827, x=80.2, y=94.39 for query 40
id=83187, x=71.61, y=88.05 for query 41
id=101155, x=36.32, y=158.75 for query 42
id=3864, x=18.44, y=103.56 for query 43
id=22008, x=6.36, y=116.79 for query 44
id=64361, x=62.2, y=119.54 for query 45
id=91448, x=52.83, y=158.08 for query 46
id=12265, x=47.02, y=158.15 for query 47
id=33448, x=6.97, y=136.25 for query 48
id=3502, x=36.89, y=119.23 for query 49
id=95959, x=48.41, y=140.25 for query 50
id=115148, x=54.52, y=87.87 for query 51
id=9289, x=86.78, y=88.36 for query 52
id=88972, x=41.73, y=145.85 for query 53
id=78764, x=79.69, y=139.01 for query 54
id=83327, x=81.97, y=156.8 for query 55
id=139247, x=56.32, y=127.58 for query 56
id=106645, x=6.53, y=142.49 for query 57
id=113019, x=5.88, y=144.5 for query 58
id=26013, x=20.75, y=146.38 for query 59
id=50324, x=4.95, y=91.31 for query 60
id=10144, x=3.86, y=110.96 for query 61
id=63473, x=81.23, y=87.77 for query 62
id=91617, x=73.09, y=142.88 for query 63
id=109261, x=72.43, y=153.15 for query 64
id=3048, x=2.73, y=148.1 for query 65
id=89611, x=56.15, y=135.83 for query 66
id=104504, x=16.07, y=125.12 for query 67
id=135219, x=26.85, y=99.29 for query 68
id=87545, x=20.8, y=124.88 for query 69
id=149817, x=16.03, y=148.38 for query 70
id=109260, x=84.58, y=89.74 for query 71
