id=69898, x=47.31, y=128.88 for query 1
id=54172, x=51.8, y=125.79 for query 2
id=100260, x=20.94, y=106.1 for query 3
id=30416, x=5.92, y=132.46 for query 4
id=31782, x=64.97, y=94.72 for query 5
id=49790, x=89.52, y=115.1 for query 6
id=84103, x=89.46, y=95.19 for query 7
id=6099, x=3.7, y=126.05 for query 8
id=141443, x=22.35, y=97.1 for query 9
id=12083, x=47.54, y=134.03 for query 10
id=138020, x=69.03, y=126.12 for query 11
id=122773, x=22.38, y=141.89 for query 12
id=118704, x=34.52, y=93.67 for query 13
id=49199, x=88.61, y=138.29 for query 14
id=52515, x=77.65, y=86.08 for query 15
id=8582, x=23.39, y=144.88 for query 16
id=5678, x=55.74, y=102.81 for query 17
id=129379, x=54.76, y=120.24 for query 18
id=66442, x=40.0, y=138.05 for query 19
id=86614, x=40.19, y=124.1 for query 20
id=104628, x=43.43, y=97.74 for query 21
id=17934, x=66.08, y=102.85 for query 22
id=49050, x=73.7, y=107.66 for query 23
id=124829, x=64.53, y=132.96 for query 24
id=99685, x=35.26, y=159.31 for query 25
id=78942, x=38.56, y=85.56 for query 26
id=139526, x=1.43, y=88.79 for query 27
id=131582, x=58.28, y=98.6 for query 28
id=74372, x=62.01, y=124.82 for query 29
id=24332, x=87.73, y=94.97 for query 30
id=5843, x=39.22, y=99.0 for query 31
id=89356, x=36.71, y=101.06 for query 32
id=37580, x=24.58, y=147.85 for query 33
id=60568, x=58.25, y=126.86 for query 34
id=129969, x=27.61, y=158.8 for query 35
id=98263, x=16.79, y=153.29 for query 36
id=102852, x=74.25, y=142.66 for query 37
id=117256, x=28.59, y=110.83 for query 38
id=121623, x=6.54, y=121.53 for query 39
id=140974, x=80.57, y=94.53 for query 40
id=83187, x=71.61, y=88.05 for query 41
id=101155, x=36.32, y=158.75 for query 42
id=110381, x=18.92, y=104.03 for query 43
id=1964, x=6.3, y=116.58 for query 44
id=149011, x=62.36, y=119.54 for query 45
id=91448, x=52.83, y=158.08 for query 46
id=12265, x=47.02, y=158.15 for query 47
id=33448, x=6.97, y=136.25 for query 48
id=93787, x=36.87, y=119.32 for query 49
id=47875, x=47.79, y=140.26 for query 50
id=115148, x=54.52, y=87.87 for query 51
id=9289, x=86.78, y=88.36 for query 52
id=9091, x=41.67, y=146.2 for query 53
id=78764, x=79.69, y=139.01 for query 54
id=57848, x=81.93, y=156.54 for query 55
id=139247, x=56.32, y=127.58 for query 56
id=106645, x=6.53, y=142.49 for query 57
id=121417, x=5.79, y=144.78 for query 58
id=141910, x=20.8, y=146.75 for query 59
id=50324, x=4.95, y=91.31 for query 60
id=124665, x=3.37, y=111.26 for query 61
id=55883, x=81.45, y=87.68 for query 62
id=91617, x=73.09, y=142.88 for query 63
id=109261, x=72.43, y=153.15 for query 64
id=3048, x=2.73, y=148.1 for query 65
id=135948, x=56.04, y=136.18 for query 66
id=411, x=16.15, y=125.2 for query 67
id=778, x=26.44, y=99.07 for query 68
id=140487, x=20.64, y=125.0 for query 69
id=149817, x=16.03, y=148.38 for query 70
id=109260, x=84.58, y=89.74 for query 71
id=114778, x=44.76, y=126.64 for query 72
id=33120, x=27.36, y=135.28 for query 73
id=142340, x=53.07, y=135.65 for query 74
id=66753, x=87.22, y=157.14 for query 75
id=10117, x=79.44, y=120.3 for query 76
id=15337, x=26.75, y=95.08 for query 77
id=49462, x=6.17, y=118.3 for query 83
id=26753, x=21.35, y=142.13 for query 84
id=56032, x=41.55, y=110.55 for query 85
id=73974, x=54.94, y=127.63 for query 86
id=71943, x=62.47, y=117.25 for query 87
id=134902, x=55.59, y=125.93 for query 88
id=83379, x=24.46, y=153.74 for query 89
id=79449, x=35.8, y=136.42 for query 90
id=96781, x=30.98, y=105.11 for query 91
id=8608, x=75.71, y=137.18 for query 92
id=82644, x=70.86, y=103.87 for query 93
id=18962, x=38.35, y=81.83 for query 94
id=91180, x=5.39, y=83.64 for query 95
id=95593, x=4.59, y=158.55 for query 96
id=15083, x=18.4, y=89.19 for query 97
id=107695, x=51.08, y=146.08 for query 98
id=103430, x=51.06, y=108.64 for query 99
id=5518, x=48.77, y=91.56 for query 100
id=93813, x=68.47, y=135.12 for query 101
id=128791, x=67.41, y=134.64 for query 102
id=69305, x=49.81, y=152.72 for query 103
id=68747, x=34.61, y=97.82 for query 104
id=11165, x=55.32, y=113.7 for query 105
id=39364, x=17.23, y=142.03 for query 106
id=143722, x=4.97, y=93.74 for query 107
id=72544, x=4.57, y=106.74 for query 108
id=21945, x=61.96, y=80.41 for query 109
id=7000, x=30.59, y=126.67 for query 110
id=122316, x=75.57, y=114.12 for query 111
id=119384, x=32.9, y=149.88 for query 112
id=80660, x=55.16, y=156.49 for query 113
id=13093, x=22.25, y=93.62 for query 114
id=98303, x=3.02, y=133.37 for query 115
id=16387, x=25.6, y=113.76 for query 116
id=19621, x=45.99, y=117.83 for query 117
id=30007, x=7.73, y=151.28 for query 118
id=19578, x=74.47, y=123.5 for query 119
id=17215, x=33.87, y=84.83 for query 120
id=55812, x=84.8, y=92.7 for query 121
id=40485, x=44.17, y=157.52 for query 122
id=70846, x=36.3, y=98.63 for query 123
id=91090, x=55.2, y=137.38 for query 124
id=130767, x=50.13, y=151.68 for query 125
id=66870, x=35.59, y=137.08 for query 126
id=53552, x=0.1, y=96.33 for query 127
id=60591, x=18.82, y=87.59 for query 128
id=12137, x=32.79, y=93.78 for query 129
id=87446, x=67.44, y=124.18 for query 130
id=104634, x=53.03, y=97.29 for query 131
id=77746, x=7.47, y=105.83 for query 132
id=89153, x=22.99, y=117.69 for query 133
id=59855, x=20.78, y=97.96 for query 134
id=35796, x=63.19, y=148.02 for query 135
id=110918, x=65.3, y=88.04 for query 136
id=21738, x=11.21, y=87.39 for query 137
id=38355, x=30.48, y=85.02 for query 138
id=51813, x=69.9, y=112.03 for query 139
id=24384, x=4.97, y=149.9 for query 140
id=39009, x=70.97, y=137.09 for query 141
id=47055, x=51.65, y=94.64 for query 142
id=148670, x=55.17, y=128.75 for query 143
id=139254, x=71.13, y=106.73 for query 144
id=45577, x=23.47, y=142.23 for query 145
id=95264, x=13.35, y=142.82 for query 146
id=64624, x=16.98, y=132.02 for query 147
id=125729, x=65.97, y=122.76 for query 148
id=69841, x=59.14, y=119.99 for query 149
id=36331, x=87.97, y=105.96 for query 150
id=112509, x=2.06, y=156.95 for query 151
id=12084, x=6.79, y=86.0 for query 152
id=111624, x=26.73, y=155.93 for query 153
id=83608, x=12.95, y=127.85 for query 154
id=76849, x=10.89, y=122.87 for query 155
id=93335, x=82.06, y=134.42 for query 156
id=38678, x=76.03, y=119.75 for query 157
id=100758, x=75.28, y=116.22 for query 158
id=911, x=25.99, y=93.27 for query 159
id=96266, x=79.09, y=125.85 for query 160
id=20236, x=79.3, y=105.71 for query 161
id=128663, x=30.75, y=110.76 for query 162
id=57160, x=79.1, y=131.89 for query 163
id=70694, x=80.08, y=80.58 for query 164
id=28087, x=56.32, y=94.66 for query 165
id=81355, x=4.7, y=92.1 for query 166
id=99096, x=16.83, y=83.44 for query 167
id=143779, x=59.78, y=146.14 for query 168
id=14316, x=4.19, y=139.18 for query 169
id=128192, x=65.21, y=116.6 for query 170
id=70668, x=87.14, y=129.01 for query 171
id=36752, x=18.65, y=147.2 for query 172
id=1643, x=32.55, y=123.77 for query 173
id=18118, x=88.06, y=89.51 for query 174
id=37457, x=27.59, y=149.41 for query 175
id=22900, x=58.54, y=117.98 for query 176
id=93822, x=80.61, y=153.76 for query 177
id=58184, x=49.88, y=88.59 for query 178
id=13143, x=27.19, y=111.32 for query 179
id=118678, x=81.93, y=159.6 for query 180
id=53985, x=45.43, y=125.9 for query 181
id=121437, x=2.86, y=87.71 for query 182
id=147221, x=17.37, y=114.02 for query 183
id=83504, x=31.79, y=116.14 for query 184
id=132434, x=30.78, y=100.19 for query 185
id=139177, x=58.56, y=143.25 for query 186
id=120664, x=35.72, y=156.85 for query 187
id=140958, x=88.08, y=107.55 for query 188
id=33437, x=36.81, y=134.62 for query 189
id=37782, x=21.45, y=110.68 for query 190
id=4236, x=33.82, y=92.75 for query 191
id=95886, x=31.03, y=125.9 for query 192
id=121946, x=34.38, y=102.97 for query 193
id=78489, x=40.8, y=120.28 for query 194
id=127735, x=66.89, y=83.45 for query 195
id=113040, x=28.15, y=151.61 for query 196
id=15774, x=29.58, y=82.75 for query 197
id=42040, x=10.01, y=93.67 for query 198
id=14605, x=16.54, y=152.4 for query 199
id=128803, x=42.12, y=137.17 for query 200
Total running time: 0.03 seconds
Average time per query: 0.0001 seconds
