id=69898, x=47.31, y=128.88 , dist = 0.1720465053408497, query id =1 
id=54172, x=51.8, y=125.79 , dist = 0.2002498439450106, query id =2 
id=21954, x=21.24, y=106.03 , dist = 0.13341664064126263, query id =3 
id=30416, x=5.92, y=132.46 , dist = 0.06082762530298032, query id =4 
id=31782, x=64.97, y=94.72 , dist = 0.1104536101718725, query id =5 
id=49790, x=89.52, y=115.1 , dist = 0.15620499351812203, query id =6 
id=84103, x=89.46, y=95.19 , dist = 0.12806248474865148, query id =7 
id=6099, x=3.7, y=126.05 , dist = 0.07615773105863938, query id =8 
id=141443, x=22.35, y=97.1 , dist = 0.2402082429892879, query id =9 
id=12083, x=47.54, y=134.03 , dist = 0.16124515496595831, query id =10 
id=1351, x=69.39, y=126.4 , dist = 0.22803508501982708, query id =11 
id=122773, x=22.38, y=141.89 , dist = 0.180277563773178, query id =12 
id=118704, x=34.52, y=93.67 , dist = 0.08944271909998967, query id =13 
id=49199, x=88.61, y=138.29 , dist = 0.13601470508735192, query id =14 
id=52515, x=77.65, y=86.08 , dist = 0.014142135623738184, query id =15 
id=8582, x=23.39, y=144.88 , dist = 0.1004987562112094, query id =16 
id=5678, x=55.74, y=102.81 , dist = 0.12529964086141726, query id =17 
id=129379, x=54.76, y=120.24 , dist = 0.1513274595042136, query id =18 
id=66442, x=40.0, y=138.05 , dist = 0.08246211251235404, query id =19 
id=86614, x=40.19, y=124.1 , dist = 0.044721359549999604, query id =20 
id=73465, x=43.79, y=97.9 , dist = 0.19235384061671656, query id =21 
id=17934, x=66.08, y=102.85 , dist = 0.030000000000001137, query id =22 
id=132857, x=74.15, y=107.67 , dist = 0.07615773105864633, query id =23 
id=124829, x=64.53, y=132.96 , dist = 0.03162277660169098, query id =24 
id=99685, x=35.26, y=159.31 , dist = 0.1280624847486659, query id =25 
id=78942, x=38.56, y=85.56 , dist = 0.16492422502470291, query id =26 
id=139526, x=1.43, y=88.79 , dist = 0.12649110640673705, query id =27 
id=131582, x=58.28, y=98.6 , dist = 0.12083045973594696, query id =28 
id=41510, x=62.16, y=124.59 , dist = 0.1414213562373095, query id =29 
id=24332, x=87.73, y=94.97 , dist = 0.09219544457293134, query id =30 
id=5843, x=39.22, y=99.0 , dist = 0.1486606874731808, query id =31 
id=89356, x=36.71, y=101.06 , dist = 0.16278820596100002, query id =32 
id=37580, x=24.58, y=147.85 , dist = 0.10000000000000142, query id =33 
id=60568, x=58.25, y=126.86 , dist = 0.09000000000000341, query id =34 
id=129969, x=27.61, y=158.8 , dist = 0.16031219541881533, query id =35 
id=98263, x=16.79, y=153.29 , dist = 0.17492855684536382, query id =36 
id=102852, x=74.25, y=142.66 , dist = 0.07211102550927727, query id =37 
id=117256, x=28.59, y=110.83 , dist = 0.14212670403551841, query id =38 
id=121623, x=6.54, y=121.53 , dist = 0.06403124237433226, query id =39 
id=31225, x=80.22, y=94.77 , dist = 0.21095023109729538, query id =40 
id=83187, x=71.61, y=88.05 , dist = 0.20880613017821437, query id =41 
id=101155, x=36.32, y=158.75 , dist = 0.07071067811865375, query id =42 
id=110381, x=18.92, y=104.03 , dist = 0.09999999999999432, query id =43 
id=33209, x=6.52, y=116.3 , dist = 0.19416487838947358, query id =44 
id=149011, x=62.36, y=119.54 , dist = 0.049999999999991475, query id =45 
id=91448, x=52.83, y=158.08 , dist = 0.147648230602333, query id =46 
id=12265, x=47.02, y=158.15 , dist = 0.11000000000000654, query id =47 
id=33448, x=6.97, y=136.25 , dist = 0.15297058540778918, query id =48 
