Sequential Skyline Search 
Squential Skyline Total runtime in sec - 18.954347848892212 

id : 1 , x : 424.44 ,'y': 116.9 
id : 2 , x : 280.11 ,'y': 173.12 
id : 3 , x : 100.39 ,'y': 53.77 
id : 562 , x : 321.05 ,'y': 52.28 
id : 595 , x : 100.05 ,'y': 173.22 
id : 600 , x : 142.83 ,'y': 53.41 
id : 612 , x : 119.19 ,'y': 51.79 
id : 648 , x : 234.55 ,'y': 50.03 
id : 1457 , x : 184.19 ,'y': 51.77 
id : 1940 , x : 163.28 ,'y': 50.11 
id : 2419 , x : 100.05 ,'y': 74.57 
id : 2967 , x : 122.84 ,'y': 51.4 
id : 5511 , x : 151.37 ,'y': 51.32 
id : 11862 , x : 106.39 ,'y': 50.11 
id : 13484 , x : 100.04 ,'y': 432.12 
id : 13968 , x : 106.08 ,'y': 51.75 
id : 14825 , x : 100.0 ,'y': 331.19 
id : 17249 , x : 169.3 ,'y': 50.03 
id : 22870 , x : 104.01 ,'y': 51.39 
id : 25890 , x : 735.0 ,'y': 50.02 
id : 31034 , x : 100.81 ,'y': 50.38 
id : 31799 , x : 237.09 ,'y': 50.02 
id : 40645 , x : 773.63 ,'y': 50.01 
id : 51282 , x : 204.18 ,'y': 50.0 
id : 74663 , x : 100.03 ,'y': 117.7 
id : 86683 , x : 100.19 ,'y': 71.96 
id : 90371 , x : 100.02 ,'y': 137.38 
id : 137899 , x : 100.35 ,'y': 70.45 
id : 142350 , x : 100.01 ,'y': 54.22 
id : 159135 , x : 111.41 ,'y': 50.09 
id : 201884 , x : 100.8 ,'y': 50.96 
id : 227625 , x : 170.41 ,'y': 50.0 
id : 233553 , x : 100.66 ,'y': 51.36 
id : 266111 , x : 155.41 ,'y': 50.0 
id : 285868 , x : 100.0 ,'y': 108.94 
